KEGG_CPD	KEGG_FORMULA	KEGG_EXACT_MASS
C04205	C9H7Cl2NO3	246.9803
C04207	C14H11NO4	257.0688
C04208	C15H13NO4	271.0845
C04209	C5H8N2O5	176.0433
C04210	C8H16N2O4	204.111
C04211	C16H21N3O3	303.1583
C04212	C5H8O6PR	
C04213	C36H63N2O17P2R(C5H8)n	
C04214		
C04215	C15H24O8PR3	
C04216	C35H60O7P2	654.3814
C04217	C25H44O7P2	518.2562
C04218	C44H82O13	818.5755
C04219	C12H22O11	342.1162
C04221	C6H8O2	112.0524
C04225	C7H8O6	188.0321
C04226	C6H7NO3	141.0426
C04227	C8H11NO2	153.079
C04230	C9H20NO7PR	
C04232	C5H11O9P2R	
C04233	C9H20NO7PR	
C04234	C6H13O10P	276.0246
C04236	C7H10O5	174.0528
C04242	C9H12FN2O8P	326.0315
C04244	C9H13N5O3	239.1018
C04246	C4H5OSR	
C04247	C12H21O11R	
C04248	C17H28NO17PR2	
C04250	C11H16N5O7P(C5H8O5PR)n(C5H8O5PR)n	
C04251	C26H34O9	490.2203
C04253		
C04255	C8H15NO9S	301.0468
C04257	C8H16NO9P	301.0563
C04258	C18H28N2O13PSR3(C5H8O6PR)n	
C04259	C8H13N3O2	183.1008
C04260	(C8H16NO8P)n	
C04261	C7H9N4O5PR2	
C04262	C7H9N4O5PR2	
C04264	C9H7BrO3S	273.9299
C04266		
C04268	C16H27N3O14P2	547.0968
C04271	C15H12O4	256.0736
C04272	C5H10O4	134.0579
C04275	C28H32O14	592.1792
C04276	C12H21O10(C12H20O11)n	
C04277	C12H22N2O2	226.1681
C04280	C7H15N3O5	221.1012
C04281	C5H7NO3	129.0426
C04282	C5H7NO3	129.0426
C04287	C6H8O5	160.0372
C04290	C16H20N2O2	272.1525
C04291	C14H15N3O	241.1215
C04292	C5H12O13P3R	
C04293	C16H12O6	300.0634
C04294	C6H9NOS	143.0405
C04295	C19H30O2	290.2246
C04297	C15H23N3O14P2	531.0655
C04298	HSR	
C04299	C6H11O8P	242.0192
C04300	C24H32O8	448.2097
C04302	C12H16NO9P	349.0563
C04303	C19H22N6O4	398.1703
C04305	C6H8NO5R(CH2)n	
C04307	C20H27N10O16P3	756.0819
C04308	C9H16NO8PR2	
C04309	C4H7O7P	197.9929
C04311	C6H8N2O4R2	
C04312	C10H16O12P2R2(C5H8O6PR)n	
C04314	C10H10O2	162.0681
C04315	C10H17O9R	
C04316	C29H48N7O18P3S	907.1989
C04317	C8H20NO6PR	
C04318	C22H28N2O5	400.1998
C04322	C5H7NO2	113.0477
C04324	C7H6O7	202.0114
C04327	C6H10NO4PS	223.0068
C04330	C31H44N6O16P	787.2551
C04332	C13H18N4O6	326.1226
C04333	C12H20O10	324.1056
C04334	C2H3OSR	
C04335	C14H19NO4	265.1314
C04339	C29H44N11O16P2R2	
C04340	C15H24O8PR3	
C04341	C5H9N2O2R	
C04342	C58H99N3O48PR(C2H2NOR)n	
C04346	C16H27N3O14P2	547.0968
C04348	C25H40N7O20P3S	883.1262
C04349	C6H8O6	176.0321
C04350	C8H9NO2	151.0633
C04351	C10H13NO	163.0997
C04352	C12H23N2O9PS	402.0862
C04353	C8H9NO2	151.0633
C04354	C12H18O13	370.0747
C04359	C7H15O9P	274.0454
C04361	C6H8O5R2	
C04366	C9H8O6	212.0321
C04367	C9H8I2O4	433.8512
C04368	C9H11NO3	181.0739
C04371	C4H8O2S2	151.9966
C04372	C11H18NO11PR2	
C04373	C19H30O2	290.2246
C04375	C13H20N4O8R2	
C04376	C8H15N2O9P	314.0515
C04377	C31H45N6O16P	788.263
C04379	C21H28O3	328.2038
C04381	C10H16N5O7P(C5H8O5PR)n(C5H8O5PR)n	
C04384	C6H12NO5(C12H19NO19S3)n	
C04385	C24H22O11	486.1162
C04386	C20H36N2O4R2	
C04387	C8H14NO6R	
C04390	C9H16N2O5	232.1059
C04391	C4H7N2O6PR2	
C04392	C20H26N8O23P4	870.0061
C04394	(C19H30N3O11R)n	
C04395		
C04397	C6H8N2O3R2	
C04398	C6H8N2O3R2	
C04399	C4H9O6PS	215.9857
C04404	C7H12O3	144.0786
C04405	C26H44N7O18P3S	867.1676
C04409	C7H7NO5	185.0324
C04411	C7H12O5	176.0685
C04415	C15H18O8	326.1002
C04416	C28H46O2	414.3498
C04419	C18H26N5O6SR2	
C04421	C11H18N2O7	290.1114
C04422	C11H14N5O5R	
C04425	C15H20N5O6S	398.1134
C04426	C17H27N3O20P2S	687.0384
C04429	(C11H21O12P)n	
C04431	C6H4O4	140.011
C04432	C15H22N5O7P(C5H8O6PR)n(C5H8O6PR)n	
C04433	C10H18O2	170.1307
C04434	C7H6O7	202.0114
C04435	C10H16O	152.1201
C04437	C10H15N2O9P	338.0515
C04438	C6H13NO7PR	
C04441	C11H15N5O4R2	
C04442	C6H11O9P	258.0141
C04443	C16H12O7	316.0583
C04444	C18H16O7	344.0896
C04445	C5H7NO2S	145.0197
C04446	C8H11N2O4	199.0719
C04447	C8H9NO4	183.0532
C04448	C9H8N2O5SR2	
C04453	C28H46O	398.3549
C04454	C9H17N4O9P	356.0733
C04457	H2O(C9H17N2O7P)n	
C04459	(C22H34O18)n	
C04462	C11H15NO8	289.0798
C04465	C76H142O15	1295.0349
C04466	(C10H14NO8R)n	
C04468	C14H12O2	212.0837
C04471	C6H8O6	176.0321
C04473		
C04475	C6H12NO7PR2	
C04476	C5H13NO6PR	
C04477	C6H16O18P4	499.9287
C04478	C8H15O11P	318.0352
C04479	C9H10O6	214.0477
C04480	C7H6O6	186.0164
C04482	C14H25N2O11PR2	
C04483	C24H40O4	392.2927
C04484	C7H6O6	186.0164
C04485	C14H12O2S2	276.0279
C04486	C12H10OS2	234.0173
C04487	C13H23N3O8R2	
C04488	C31H47N6O16P	790.2786
C04489	C30H39N9O12	717.2718
C04494	C10H18N5O20P5	682.9233
C04498	C14H20N4O2	276.1586
C04500	C28H51NO12P2(C5H8)n	
C04501	C8H16NO9P	301.0563
C04502	C8H14NO6R	
C04503	C4H13N3O7P2	277.0229
C04504	C8H14N2O4R2	
C04505	(C12H16NO9R)n	
C04506	C20H33N2O3SR(C2H2NOR)n	
C04507	C61H102O12P2	1088.6847
C04508	C3H9O6P(C9H17O10P)n	
C04510	C13H20N3O11P(C5H8O6PR)n(C5H8O6PR)n	
C04511	C33H49N5O24P2R2(C5H8O6PR)n(C5H8O6PR)n	
C04512	C26H39N7O17P3SR	
C04514	C10H10O2	162.0681
C04516	C34H28O22	788.1072
C04517	C10H22NO6PR	
C04518	C21H32O3	332.2351
C04520	C6H16O18P4	499.9287
C04522	C6H5ClO4	175.9876
C04524	C14H10O8	306.0376
C04525	C28H46O	398.3549
C04527	C16H12O8	332.0532
C04529	C17H30O7	346.1992
C04530	C29H50O	414.3862
C04534	C12H23O14P	422.0825
C04536	C35H34MgN4O4	598.243
C04537	C36H64N2O17P2(C5H8)n	
C04539		
C04540	C12H21N3O8	335.1329
C04542	C13H23N3O8R2	
C04544	C11H19N3O6S	321.0995
C04545	C11H16N5O8P(C5H8O6PR)n(C5H8O6PR)n	
C04546	C8H14O5	190.0841
C04547	C16H16O4	272.1049
C04549	C11H18O16P2R2	
C04552	C18H16O8	360.0845
C04553	C7H6O6	186.0164
C04554	C27H46O4	434.3396
C04555	C19H28O5S	368.1657
C04556	C6H10N3O4P	219.0409
C04558	C7H8O4	156.0423
C04559	C7H8O4	156.0423
C04561	C12H16O3	208.1099
C04563	C6H17O21P5	579.895
C04564	C4H7N2O6PR2	
C04565	C4H7N2O6PR2	
C04566		
C04570		
C04573	C17H25N3O18P2	621.0608
C04574	C55H92O7P2	926.6318
C04575	C6H8O7	192.027
C04576	C41H32O26	940.1182
C04577	C20H30O3	318.2195
C04578	C22H28N2O4	384.2049
C04579	C6H17O21P5	579.895
C04581	C17H14O8	346.0689
C04582	C6H13O7PS	260.012
C04584	C7H5NO3	151.0269
C04586	C9H16O5	204.0998
C04589	C17H27N3O23P2S2	766.9952
C04590	C23H41O6P	444.2641
C04592	C7H10O2	126.0681
C04593	C7H10O7	206.0427
C04596	C14H8Cl4	315.938
C04597	C19H24O6	348.1573
C04598	C10H22NO7PR	
C04599	C12H15N	173.1204
C04604	C8H7NO5	197.0324
C04606	C16H14O4S2	334.0334
C04608	C21H20O10	432.1056
C04611	C21H27NO11	469.1584
C04613	C17H25N3O16P2	589.071
C04617	C6H8O7	192.027
C04618	C4H7O2SR	
C04619	C10H19O2SR	
C04620	C8H15O2SR	
C04621	C11H8N2O5	248.0433
C04622	C11H8N2O5	248.0433
C04623	C14H9Cl5	351.9147
C04625	C6H4Cl2O4	209.9487
C04628	C11H22NO7PS	343.0855
C04630	C17H28N4O15P2	590.1026
C04631	C20H29N3O19P2	677.087
C04632	C4H6N2O3R2	
C04633	C16H31O2SR	
C04634	C7H8O4	156.0423
C04635	C7H15NO6PR	
C04637	C11H19O19P3R2	
C04638	C43H73O6P	716.5145
C04639	C9H15N2O9P	326.0515
C04640	C8H16N3O8P	313.0675
C04641	C9H19O11P	334.0665
C04642	C8H8O6	200.0321
C04643	C24H38O5	406.2719
C04644	C48H80N7O19P3S	1183.4443
C04645	C12H22O14PR	
C04646	C10H13N4O7PS	364.0243
C04648	C12H21O10R	
C04649	C8H14NO6(C12H19NO19S3)n	
C04650	C5H12NO4P	181.0504
C04652	C43H77N3O20P2	1017.4576
C04654	C20H32O5	352.225
C04655	C16H28O7	332.1835
C04656	C14H24NO11R	
C04657	C14H24NO11R	
C04661	C24H40O5	408.2876
C04666	C6H11N2O6P	238.0355
C04667	(C13H24NO12P)n	
C04670	C7H10O4	158.0579
C04671	C20H32O5	352.225
C04672	C18H28O3	292.2038
C04673	C7H13N3O5	219.0855
C04674	C12H21NO17S2	515.0251
C04675	C32H52N7O20P3S	979.2201
C04676	C19H26O3	302.1882
C04677	C9H15N4O8P	338.0628
C04678	C28H52NO9P(C5H8)n	
C04679	C11H22N4O3R2	
C04680	C21H29O2R	
C04681	C17H27N5O4SR2	
C04682	C17H27N5O4SR2	
C04683	C17H28NO14R	
C04685	C20H32O4	336.2301
C04686	C20H32O4	336.2301
C04687	C7H12O4	160.0736
C04688	C14H27O2SR	
C04690	C8H11NO6	217.0586
C04691	C7H13O10P	288.0246
C04692	C12H17N5O4R2	
C04695	C22H29NO12	499.169
C04696	C11H18N5O11P2(C5H8O6PR)n	
C04698	C13H24O10	340.1369
C04700	C34H55N7O24P2	1007.2774
C04702	C40H65N9O26P2	1149.3516
C04703	C9H19O11P	334.0665
C04706	C6H3ClO4	173.972
C04707	C20H30O5	350.2093
C04708	C26H48NO9R	
C04711	C14H12O3S2	292.0228
C04712	C16H18N2O9S	414.0733
C04713	C15H22N5O7P	415.1257
C04715	C27H42O4	430.3083
C04717	C18H32O4	312.2301
C04718	C10H16O3	184.1099
C04719	C20H18O9	402.0951
C04720	C9H9NO5	211.0481
C04722	C27H46O5	450.3345
C04724	C73H122O21P2	1396.7954
C04725	(C19H32O15)n	
C04726	C4H6N2O3R2	
C04727	C17H27N5O4SR2	
C04728	C11H18N3O8PS(C5H8O6PR)n(C5H8O6PR)n	
C04729	C6H3ClO4	173.972
C04730	C42H73N2O21R	
C04731	C12H15NO	189.1154
C04732	C9H16N4O6	276.107
C04734	C10H15N4O9P	366.0577
C04735	C7H13N3O2R2	
C04736	C7H13N3O2R2	
C04737	C37H66NO18R	
C04738	C31H53N3O19P2	833.2749
C04739	C23H38N3O25P3	849.1007
C04740	C42H73N2O21R	
C04741	C20H34O5	354.2406
C04742	C20H32O3	320.2351
C04748	C21H35N2O3SR(C2H2NOR)n	
C04749		
C04750	C14H24NO11R	
C04751	C9H14N3O9P	339.0468
C04752	C6H11N3O7P2	299.0072
C04755	C14H25NO14PR	
C04756	C8H14NO7PR2	
C04758	C20H30O5	350.2093
C04759	C19H33N3O13R2	
C04760	C48H80N7O20P3S	1199.4392
C04763	C7H13N3O2R2	
C04767	C14H29N6O11P	488.1632
C04768	C4H7N2O6PR2	
C04771	C8H10N2O4	198.0641
C04772	C18H31O16(C12H20O10)n	
C04773	C8H9NO4	183.0532
C04775	C18H31O16R	
C04776	C18H29N3O13R2	
C04778	C14H19N2O7P	358.093
C04780	C18H30O3	294.2195
C04783	C8H8O6	200.0321
C04785	C18H30O4	310.2144
C04789	C14H25NO14PR	
C04791	C14H24NO11R	
C04793	C19H24O4	316.1675
C04794	C14H21NO11	379.1115
C04796	C9H11NO6	229.0586
C04797	C9H11NO6	229.0586
C04798	C10H8ClN3O3	253.0254
C04800	C41H63N3O34R2	
C04801	C17H27N5O4SR2	
C04802	C22H36N5O23P4R(R1)(C5H8O6PR)n	
C04804	C38H60N8O27P2	1122.3043
C04805	C20H32O3	320.2351
C04806	C32H45NO13	651.2891
C04807	C7H11N5O8P2	355.0083
C04808	C79H132O24P2	1526.8584
C04809		
C04810	C6H7O6(C6H8O6)n	
C04814	C29H50O2	430.3811
C04815	C7H10O4	158.0579
C04816		
C04817	C19H33N3O13R2	
C04818	C14H24NO11R	
C04819	C42H74N8O22	1042.4918
C04822	C20H32O4	336.2301
C04823	C13H19N4O12P	454.0737
C04824	C34H66NO12P	711.4323
C04825	C21H34N2O17R2	
C04827	C7H13N3O2R2	
C04830	C69H115NO17P2	1291.764
C04831	C15H19NO10	373.1009
C04832	C13H26NO10PS3	483.0456
C04833	C28H42N10O23P4R(C5H8O6PR)n	
C04834	C16H26O3	266.1882
C04835	C20H30O5	350.2093
C04840	C29H48O3	444.3603
C04843	C20H34O5	354.2406
C04844	C19H24O6	348.1573
C04845	C39H69N2O18R	
C04847	C20H35NO16	545.1956
C04848	C89H159N3O53PR(C2H2NOR)n	
C04849	C20H32O4	336.2301
C04850	C20H34NO15R	
C04851	C86H143N7O21P2	1671.9812
C04853	C20H32O5	352.225
C04855	C20H34NO16R	
C04856	C21H31N7O15P2	683.1353
C04858	C26H28O14	564.1479
C04859	C33H52O9	592.3611
C04861	C24H42O21	666.2219
C04864	C14H21NO14S	459.0683
C04865	C14H21NO14S	459.0683
C04866	C18H31O15R	
C04867	C17H28O3	280.2038
C04872	C22H33NO18R2	
C04874	C9H13N5O4	255.0968
C04875	C17H27NO3	293.1991
C04877	C35H55N7O26P2	1051.2672
C04880	C20H34NO16R	
C04881	C71H118N2O17P2	1332.7906
C04882	C41H65N9O28P2	1193.3414
C04883	C17H25NO3	291.1834
C04884	C50H86N3O26R	
C04885	C25H41N2O19R	
C04886	C25H42N2O19	674.2382
C04887	C28H45N2O22R	
C04890	C22H37N2O16R	
C04891	C22H37N2O16R	
C04894	C43H70N10O27P2	1220.3887
C04895	C9H16N5O13P3	494.9957
C04896	C15H25N5O15P2	577.0822
C04899	C21H32N7O18P3	763.1017
C04900	C33H34O24	814.144
C04901	C25H41N2O19R	
C04902	C22H37N2O16R	
C04903	C27H42N2O23R2	
C04905	C14H19N4O. Br	338.0742
C04906	C22H37N2O16R	
C04907	C25H41N2O19R	
C04908	C14H18N3O2. Br	339.0582
C04909	C22H36O19R2	
C04910	C45H79N2O23R	
C04911	C56H96N3O31R	
C04913	C49H76N4O39R2	
C04914	C26H44NO21R	
C04916	C15H25N5O15P2	577.0822
C04917	C24H40N3O16R	
C04919	C68H130N2O23P2	1404.854
C04920	C22H36O22SR2	
C04922	C45H79N2O23R	
C04923	C32H55NO26	869.3012
C04924	C50H86N3O26R	
C04925	C53H92N3O28R	
C04926	C36H58N3O27R	
C04927	C67H113N4O39R	
C04930	C30H50N3O21R	
C04932	C68H129N2O20P	1324.8876
C04934	C30H50N3O21R	
C04936	C56H96N3O31R	
C04937	C34H57N2O26R	
C04938	C53H92N3O28R	
C04939	C53H92N3O28R	
C04942	C6H11O6R	
C04943	C28H47N2O21R	
C04944	C20H34NO16R	
C05011	C26H29NO2	387.2198
C05067	C25H39N7O17P3SR	
C05080	C31H36N2O11	612.2319
C05102	C2H3O3R(CH2)n	
C05103	C28H46O	398.3549
C05107	C27H42O	382.3236
C05108	C29H48O	412.3705
C05109	C30H52O	428.4018
C05110	C28H48O	400.3705
C05111	C28H48O	400.3705
C05116	C25H42N7O18P3S	853.152
C05117	C25H43N8O17P3S	852.168
C05122	C26H45NO7S	515.2917
C05123	C2H6O4S	125.9987
C05125	C14H23N4O8P2S	469.0712
C05127	C6H11N3	125.0953
C05130	C5H6N2O	110.048
C05133	C5H6N2O3	142.0378
C05138	C21H32O3	332.2351
C05139	C19H28O3	304.2038
C05140	C19H26O3	302.1882
C05141	C18H24O3	288.1725
C05143	C14H17NO7	311.1005
C05144	(C6H8O6)n	
C05147	C5H9NO3	131.0582
C05155	C10H8ClN3O5	285.0152
C05156	C12H19NO11PR3(C5H8O6PR)n	
C05157	C14H21N2O12PR4(C5H8O6PR)n(C2H2NOR)n	
C05158	C15H18O8	326.1002
C05159	C28H47N2O21R	
C05161	C6H14N2O2	146.1055
C05165	C28H43N8O18P3S	904.1629
C05167	C2H4NO2R	
C05172	H3PO3Se	161.8985
C05174	C19H19NO4	325.1314
C05175	C19H17NO4	323.1158
C05176	C18H21NO3	299.1521
C05177	C36H40N2O6	596.2886
C05178	C19H23NO4	329.1627
C05179	C19H21NO4	327.1471
C05183		
C05189	C20H19NO5	353.1263
C05190	C20H19NO6	369.1212
C05191	C20H15NO4	333.1001
C05193	C21H17NO6	379.1056
C05194	C21H17NO5	363.1107
C05195	C28H40N7O18P3S	887.1363
C05196		
C05197	C3H4N2O2R2	
C05198	C10H13N5O3	251.1018
C05199		
C05200	C37H54O4	562.4022
C05201	C16H17N	223.1361
C05202	C18H21NO4	315.1471
C05203	C17H19NO4	301.1314
C05204	C17H17N	235.1361
C05205	C6H10N2O2SR2	
C05208	C28H50NO7PR	
C05209	C5H13NO6PR	
C05210	C25H43NO7PR	
C05212	C9H19NO7PR2	
C05217	C3H7O6PR2	
C05218	C5H9O7PR2	
C05220	C19H23NO4	329.1627
C05223	C12H23OSR	
C05226	C3H5N2O3R	
C05227		
C05229	C20H22O5	342.1467
C05230	C20H20O4	324.1362
C05231	C25H43N8O17P3S	852.168
C05232	C24H39N7O17P3SR	
C05234	C2H4NO2R(C2H2NOR)n	
C05235	C3H6O2	74.0368
C05239	C3H5N3	83.0483
C05243	C18H21NO3	299.1521
C05247	C20H15NO5	349.095
C05250	C10H10N2O3R2	
C05258	C37H66N7O18P3S	1021.3398
C05259	C37H64N7O18P3S	1019.3241
C05260	C35H62N7O18P3S	993.3085
C05261	C35H60N7O18P3S	991.2928
C05262	C33H58N7O18P3S	965.2772
C05263	C33H56N7O18P3S	963.2615
C05264	C31H54N7O18P3S	937.2459
C05265	C31H52N7O18P3S	935.2302
C05266	C29H50N7O18P3S	909.2146
C05267	C29H48N7O18P3S	907.1989
C05268	C27H46N7O18P3S	881.1833
C05269	C27H44N7O18P3S	879.1676
C05270	C27H46N7O17P3S	865.1884
C05271	C27H44N7O17P3S	863.1727
C05272	C37H64N7O17P3S	1003.3292
C05273	C35H60N7O17P3S	975.2979
C05274	C31H54N7O17P3S	921.251
C05275	C31H52N7O17P3S	919.2353
C05276	C29H48N7O17P3S	891.204
C05278	C29H50N7O18P3S	909.2146
C05279	C33H54N7O17P3S	945.251
C05280	C33H54N7O17P3S	945.251
C05281	C5H6N2O3	142.0378
C05284	C19H26O3	302.1882
C05285	C19H24O3	300.1725
C05290	C19H26O3	302.1882
C05291	C19H28O3	304.2038
C05293	C19H30O2	290.2246
C05294	C19H28O3	304.2038
C05295	C19H26O3	302.1882
C05296	C19H26O3	302.1882
C05297	C19H24O3	300.1725
C05298	C18H22O3	286.1569
C05299	C19H24O3	300.1725
C05300	C18H22O3	286.1569
C05301	C18H24O3	288.1725
C05302	C19H26O3	302.1882
C05305		
C05306	C55H72MgN4O5	892.5353
C05307	C55H70MgN4O6	906.5146
C05309		
C05312	C3H3N2O2R2	
C05313	C38H56O4	576.4179
C05314	C17H19N	237.1518
C05315	C21H22NO4	352.1549
C05316	C22H19NO6	393.1212
C05317	C18H21NO4	315.1471
C05318	C18H20N	250.1596
C05319	C7H13N2O2SR2	
C05322	C21H25NO5	371.1733
C05324	C12H21N3O6	303.143
C05325	C10H13N4O7P	332.0522
C05326	C19H21N4O11PR2	
C05328	C6H12N2O	128.095
C05329	C24H39N7O17P3SR	
C05330	C4H9NO2S	135.0354
C05332	C8H11N	121.0891
C05334	C16H14O5	286.0841
C05335	C5H11NO2Se	196.9955
C05336	C20H30N6O11PSeR(C5H8O6PR)n	
C05337	C45H74N7O19P3S	1141.3973
C05338	C29H42N7O18P3S	901.152
C05340	C9H19N5O3	245.1488
C05341	C9H19N3O3	217.1426
C05343	C8H8O4	168.0423
C05345	C6H13O9P	260.0297
C05350	C9H8O4	180.0423
C05356	C20H32O4	336.2301
C05357		
C05358		
C05359		
C05360	N2H2	30.0218
C05361	N2H4	32.0374
C05364	C7H6O7	202.0114
C05366	C20H22O6	358.1416
C05375	C7H6O6	186.0164
C05376	C22H22O10	446.1213
C05378	C6H14O12P2	339.996
C05379	C6H6O7	190.0114
C05381	C16H25N4O10P2S	527.0767
C05382	C7H15O10P	290.0403
C05385	C6H11O10P	274.009
C05392	C6H8O6(C6H8O6)n	
C05394	C6H10O6	178.0477
C05396	C12H23O14P	422.0825
C05399	C12H24O11	344.1319
C05400	C12H22O11	342.1162
C05401	C9H18O8	254.1002
C05402	C12H22O11	342.1162
C05403	C12H20O11	340.1006
C05404	C18H32O16	504.169
C05413	C40H64	544.5008
C05414	C40H62	542.4852
C05418	C27H46O2	402.3498
C05421	C40H64	544.5008
C05422	C6H6O6	174.0164
C05425	C27H48O3	420.3603
C05427	C20H42O7P2	456.2406
C05430	C40H60	540.4695
C05431	C40H58	538.4539
C05432	C40H56	536.4382
C05433	C40H56	536.4382
C05434	C40H58	538.4539
C05435	C40H56	536.4382
C05437	C27H44O	384.3392
C05439	C27H44O	384.3392
C05440	C28H42O	394.3236
C05442	C29H48O	412.3705
C05443	C27H44O	384.3392
C05444	C27H48O3	420.3603
C05445	C27H46O3	418.3447
C05446	C27H48O4	436.3553
C05447	C48H78N7O19P3S	1181.4286
C05448	C48H80N7O20P3S	1199.4392
C05449	C48H78N7O20P3S	1197.4235
C05451	C27H46O2	402.3498
C05452	C27H48O2	404.3654
C05453	C27H46O3	418.3447
C05454	C27H48O3	420.3603
C05455	C27H44O2	400.3341
C05458	C27H46O3	418.3447
C05460	C48H78N7O20P3S	1197.4235
C05463	C26H45NO6S	499.2968
C05464	C26H43NO5	449.3141
C05465	C26H45NO6S	499.2968
C05466	C26H43NO5	449.3141
C05467	C48H78N7O21P3S	1213.4184
C05469	C21H30O5	362.2093
C05470	C21H32O5	364.225
C05471	C21H32O5	364.225
C05472	C21H34O5	366.2406
C05473	C21H30O5	362.2093
C05474	C21H32O5	364.225
C05475	C21H32O4	348.2301
C05476	C21H34O4	350.2457
C05477	C21H30O4	346.2144
C05478	C21H32O4	348.2301
C05479	C21H32O2	316.2402
C05480	C21H34O2	318.2559
C05481	C21H34O5	366.2406
C05482	C21H36O5	368.2563
C05483	C21H34O4	350.2457
C05484	C21H36O2	320.2715
C05485	C21H32O3	332.2351
C05487	C21H32O4	348.2301
C05488	C21H30O4	346.2144
C05489	C21H32O5	364.225
C05490	C21H28O4	344.1988
C05497	C21H30O4	346.2144
C05498	C21H30O3	330.2195
C05499	C27H46O3	418.3447
C05500	C27H46O2	402.3498
C05501	C27H46O3	418.3447
C05502	C27H46O2	402.3498
C05503	C24H32O8	448.2097
C05504	C24H32O9	464.2046
C05512	C10H12N4O4	252.0859
C05513	C10H12N4O7	300.0706
C05519	C4H9NO3	119.0582
C05520	C6H9NO5	175.0481
C05524		
C05526	C13H22N4O8S2	426.0879
C05527	C3H4O5S	151.9779
C05528	C3H4O6S	167.9729
C05533	C7H8O7	204.027
C05535	C6H10NO3SR	
C05539	C9H13NO6	231.0743
C05544	C8H15N3O2R2	
C05545	C9H17N3O2R2	
C05546	C10H20N3O2R2	
C05548	C8H13NO4	187.0845
C05551	C16H18N2O4S	334.0987
C05552	C16H28N4O4S	372.1831
C05554	C22H36N4O13	564.2279
C05556	C14H25N3O6S	363.1464
C05557	C14H21N3O6S	359.1151
C05560	C16H23N6O10P	490.1213
C05565	C6H8N2O4	172.0484
C05570	C9H16N3O2S	230.0963
C05574	C5H9NO4	147.0532
C05575	C9H16N3O2	198.1243
C05576	C8H10O4	170.0579
C05577	C8H8O4	168.0423
C05578	C8H7NO2	149.0477
C05579	C8H5NO2	147.032
C05580	C8H8O5	184.0372
C05581	C9H10O3	166.063
C05582	C9H10O4	182.0579
C05583	C9H10O4	182.0579
C05584	C9H10O5	198.0528
C05585	C7H6O3	138.0317
C05587	C9H13NO2	167.0946
C05588	C10H15NO3	197.1052
C05589	C9H13NO3	183.0895
C05590	HI	127.9123
C05593	C8H8O3	152.0473
C05594	C9H12O4	184.0736
C05595	C13H15NO6	281.0899
C05598	C10H11NO3	193.0739
C05600	C7H8O5	172.0372
C05601	C7H10O6	190.0477
C05607	C9H10O3	166.063
C05608	C9H8O2	148.0524
C05610	C11H12O4	208.0736
C05616	C8H8O5	184.0372
C05618	C6H5ClO2	143.9978
C05619	C10H10O5	210.0528
C05620	C11H13NO3	207.0895
C05622	C29H30O17	650.1483
C05623	C21H20O12	464.0955
C05625	C27H30O16	610.1534
C05627	C8H8O	120.0575
C05629	C9H10O2	150.0681
C05631	C15H12O6	288.0634
C05634	C10H9NO2	175.0633
C05635	C10H9NO3	191.0582
C05636	C9H12N2O2	180.0899
C05637	C9H7NO2	161.0477
C05638	C9H12N2O2	180.0899
C05639	C9H7NO2	161.0477
C05640	C14H8N2O6	300.0382
C05641	C10H7NO7	253.0223
C05642	C13H16N2O4	264.111
C05643	C13H16N2O3	248.1161
C05644	C12H11NO3	217.0739
C05645	C10H9NO5	223.0481
C05646	C11H9NO4	219.0532
C05647	C10H12N2O3	208.0848
C05648	C11H12N2O5	252.0746
C05649	C6H6N4	134.0592
C05650	C6H8N4	136.0749
C05651	C10H12N2O4	224.0797
C05653	C8H7NO3	165.0426
C05658	C8H7NO	133.0528
C05660	C11H11NO3	205.0739
C05662	C7H10O7	206.0427
C05665	C3H7NO	73.0528
C05668	C24H40N7O18P3S	839.1363
C05669	C3H5NO4	119.0219
C05670	C3H6N2	70.0531
C05673	C11H20N4O10P2	430.0655
C05674	C14H27N4O10P2	473.1202
C05675	C7H12NO7PR2	
C05676	C10H19NO7PR2	
C05678	C2H8NO4P	141.0191
C05682	C2H5O5P	139.9875
C05684	SeO3	127.9013
C05686	C10H14N5O10PSe	474.9644
C05688	C3H7NO2Se	168.9642
C05689	C4H9NO2Se	182.9799
C05690	C6H14NO2Se	212.019
C05691	C15H23N6O5Se	447.0895
C05692	C14H20N6O5Se	432.066
C05695	C9H16N2O5Se	312.0224
C05696	C10H15N5O13P2Se	554.9307
C05697	H2SeO4	145.9118
C05698	C4H9NO2Se	182.9799
C05699	C7H14N2O4Se	270.0119
C05702	C4H10NO6P	199.0246
C05703	CH4Se	95.9478
C05711	C9H13N3O5	243.0855
C05712	C2HNOR2	
C05713	C8H11NO6R2	
C05714	C3H6N2	70.0531
C05715	C5H8N2O2	128.0586
C05726	C3H6NO2SR	
C05727	C5H8NO3SR	
C05729	C5H9N2O3SR	
C05730	C17H34N6O5S	434.2311
C05731	C12H20O11	340.1006
C05744	C4H5O2SR	
C05745	C4H7OSR	
C05746	C6H9O2SR	
C05747	C6H11O2SR	
C05748	C6H9OSR	
C05749	C6H11OSR	
C05750	C8H13O2SR	
C05751	C8H13OSR	
C05752	C8H15OSR	
C05753	C10H17O2SR	
C05754	C10H17OSR	
C05755	C10H19OSR	
C05756	C12H21O2SR	
C05757	C12H23O2SR	
C05758	C12H21OSR	
C05759	C14H25O2SR	
