KEGG_CPD	KEGG_EC	KEGG_FORMULA	KEGG_EXACT_MASS
cpd:C00001	ec:3.6.1.27	H2O	18.0106
cpd:C00001	ec:3.6.1.28	H2O	18.0106
cpd:C00001	ec:3.6.1.29	H2O	18.0106
cpd:C00001	ec:3.6.1.3	H2O	18.0106
cpd:C00001	ec:3.6.1.31	H2O	18.0106
cpd:C00001	ec:3.6.1.39	H2O	18.0106
cpd:C00001	ec:3.6.1.40	H2O	18.0106
cpd:C00001	ec:3.6.1.41	H2O	18.0106
cpd:C00001	ec:3.6.1.42	H2O	18.0106
cpd:C00001	ec:3.6.1.43	H2O	18.0106
cpd:C00001	ec:3.7.1.3	H2O	18.0106
cpd:C00001	ec:3.7.1.4	H2O	18.0106
cpd:C00001	ec:3.7.1.5	H2O	18.0106
cpd:C00001	ec:3.7.1.6	H2O	18.0106
cpd:C00001	ec:3.7.1.7	H2O	18.0106
cpd:C00001	ec:3.7.1.8	H2O	18.0106
cpd:C00001	ec:3.7.1.9	H2O	18.0106
cpd:C00001	ec:3.8.1.1	H2O	18.0106
cpd:C00001	ec:3.8.1.10	H2O	18.0106
cpd:C00001	ec:3.8.1.11	H2O	18.0106
cpd:C00001	ec:3.8.1.2	H2O	18.0106
cpd:C00001	ec:3.8.1.3	H2O	18.0106
cpd:C00001	ec:3.8.1.5	H2O	18.0106
cpd:C00001	ec:3.8.1.6	H2O	18.0106
cpd:C00001	ec:3.8.1.7	H2O	18.0106
cpd:C00001	ec:3.8.1.8	H2O	18.0106
cpd:C00001	ec:3.8.1.9	H2O	18.0106
cpd:C00001	ec:3.9.1.1	H2O	18.0106
cpd:C00001	ec:3.9.1.2	H2O	18.0106
cpd:C00001	ec:3.5.2.6	H2O	18.0106
cpd:C00001	ec:3.5.2.7	H2O	18.0106
cpd:C00001	ec:3.5.2.9	H2O	18.0106
cpd:C00001	ec:3.5.3.1	H2O	18.0106
cpd:C00001	ec:3.5.3.10	H2O	18.0106
cpd:C00001	ec:3.5.3.11	H2O	18.0106
cpd:C00001	ec:3.5.3.12	H2O	18.0106
cpd:C00001	ec:3.5.3.13	H2O	18.0106
cpd:C00001	ec:3.5.3.14	H2O	18.0106
cpd:C00001	ec:3.5.3.15	H2O	18.0106
cpd:C00001	ec:3.5.3.16	H2O	18.0106
cpd:C00001	ec:3.5.3.17	H2O	18.0106
