organism	protein_id	original_protein_id
C. saccharolyticum	D9R254	D9R254
C. saccharolyticum	D9R255	D9R255|D9R431|D9R5U3
C. saccharolyticum	D9R257	D9R257
C. saccharolyticum	D9R258	D9R258
C. saccharolyticum	D9R259	D9R259|D9R7M0
C. saccharolyticum	D9R260	D9R260
C. saccharolyticum	D9R261	D9R261
C. saccharolyticum	D9R262	D9R262
C. saccharolyticum	D9R263	D9R263
C. saccharolyticum	D9R264	D9R264
C. saccharolyticum	D9R265	D9R265
C. saccharolyticum	D9R269	D9R269
C. saccharolyticum	D9R270	D9R270
C. saccharolyticum	D9R271	D9R271
C. saccharolyticum	D9R272	D9R272
C. saccharolyticum	D9R273	D9R273
C. saccharolyticum	D9R275	D9R275
C. saccharolyticum	D9R277	D9R277
C. saccharolyticum	D9R279	D9R279
C. saccharolyticum	D9R281	D9R281
C. saccharolyticum	D9R288	D9R288
C. saccharolyticum	D9R289	D9R289
C. saccharolyticum	D9R290	D9R290
C. saccharolyticum	D9R291	D9R291
