organism	protein_id	gene_name	is_hit	n_hits	list_hits
Csaccha	D9R108	RECU	FALSE	0	""
Csaccha	D9R109	HISZ	FALSE	0	""
Csaccha	D9R110	HISG	FALSE	0	""
Csaccha	D9R111	HISD	FALSE	0	""
Csaccha	D9R112	HISB	FALSE	0	""
Csaccha	D9R113	HISA	FALSE	0	""
Csaccha	D9R114	HISI	FALSE	0	""
Csaccha	D9R115	CLOSA_1983	FALSE	0	""
Csaccha	D9R116	PEPT	FALSE	0	""
Csaccha	D9R117	CLOSA_1985	FALSE	0	""
Csaccha	D9R118	CLOSA_1986	FALSE	0	""
Csaccha	D9R119	CLOSA_1987	FALSE	0	""
Csaccha	D9R120	CLOSA_1988	FALSE	0	""
Csaccha	D9R121	CLOSA_1989	FALSE	0	""
Csaccha	D9R122	CLOSA_1990	FALSE	0	""
Csaccha	D9R123	CLOSA_1991	FALSE	0	""
Csaccha	D9R126	CLOSA_1994	FALSE	0	""
Csaccha	D9R127	CLOSA_1995	FALSE	0	""
Csaccha	D9R128	CLOSA_1996	FALSE	0	""
Csaccha	D9R129	CLOSA_1997	FALSE	0	""
Csaccha	D9R131	CLOSA_1999	FALSE	0	""
Csaccha	D9R132	RPLU	FALSE	0	""
Csaccha	D9R133	CLOSA_2001	FALSE	0	""
Csaccha	D9R134	RPMA	FALSE	0	""
Csaccha	D9R135	OBG	FALSE	0	""
Csaccha	D9R136	CLOSA_2004	FALSE	0	""
Csaccha	D9R137	NADD	FALSE	0	""
Csaccha	D9R138	CLOSA_2006	FALSE	0	""
Csaccha	D9R139	RSFS	FALSE	0	""
Csaccha	D9R140	LEXA	FALSE	0	""
Csaccha	D9R144	CLOSA_2012	FALSE	0	""
Csaccha	D9R145	CLOSA_2013	FALSE	0	""
Csaccha	D9R147	CLOSA_2015	FALSE	0	""
Csaccha	D9R148	CLOSA_2016	FALSE	0	""
Csaccha	D9R150	CLOSA_2018	FALSE	0	""
Csaccha	D9R151	CLOSA_2019	FALSE	0	""
Csaccha	D9R152	CLOSA_2020	FALSE	0	""
Csaccha	D9R153	CLOSA_2021	FALSE	0	""
Csaccha	D9R154	CLOSA_2022	FALSE	0	""
Csaccha	D9R156	CLOSA_2024	FALSE	0	""
Csaccha	D9R157	CLOSA_2025	FALSE	0	""
Csaccha	D9R158	CLOSA_2026	FALSE	0	""
Csaccha	D9R160	CLOSA_2028	FALSE	0	""
Csaccha	D9R161	CLOSA_2029	FALSE	0	""
Csaccha	D9R163	AROB	FALSE	0	""
Csaccha	D9R164	SEPF	FALSE	0	""
Csaccha	D9R165	CLOSA_2033	FALSE	0	""
Csaccha	D9R166	CLOSA_2034	FALSE	0	""
Csaccha	D9R167	CLOSA_2035	FALSE	0	""
Csaccha	D9R168	CLOSA_2036	FALSE	0	""
Csaccha	D9R171	MINE	FALSE	0	""
Csaccha	D9R172	CLOSA_2040	FALSE	0	""
Csaccha	D9R173	MINC	FALSE	0	""
Csaccha	D9R174	CLOSA_2042	FALSE	0	""
