Well	Species	Concentration	Replicate	Time	OD
E9	C. saccharolyticum	20	1	13	0.61
E9	C. saccharolyticum	20	1	14	0.445
E9	C. saccharolyticum	20	1	15	0.712
E9	C. saccharolyticum	20	1	16	0.553
E9	C. saccharolyticum	20	1	17	0.399
E9	C. saccharolyticum	20	1	18	0.486
E9	C. saccharolyticum	20	1	19	0.516
E9	C. saccharolyticum	20	1	20	0.42
E9	C. saccharolyticum	20	1	21	0.542
E9	C. saccharolyticum	20	1	22	0.454
E9	C. saccharolyticum	20	1	23	0.457
E9	C. saccharolyticum	20	1	24	0.707
E9	C. saccharolyticum	20	2	0	0.148
E9	C. saccharolyticum	20	2	1	0.141
E9	C. saccharolyticum	20	2	2	0.133
E9	C. saccharolyticum	20	2	3	0.129
E9	C. saccharolyticum	20	2	4	0.127
E9	C. saccharolyticum	20	2	5	0.13
E9	C. saccharolyticum	20	2	6	0.14
E9	C. saccharolyticum	20	2	7	0.154
E9	C. saccharolyticum	20	2	8	0.147
E9	C. saccharolyticum	20	2	9	0.25
E9	C. saccharolyticum	20	2	10	0.265
E9	C. saccharolyticum	20	2	11	0.245
E9	C. saccharolyticum	20	2	12	0.323
E9	C. saccharolyticum	20	2	13	0.572
E9	C. saccharolyticum	20	2	14	0.466
E9	C. saccharolyticum	20	2	15	0.758
E9	C. saccharolyticum	20	2	16	0.596
E9	C. saccharolyticum	20	2	17	0.524
E9	C. saccharolyticum	20	2	18	0.463
E9	C. saccharolyticum	20	2	19	0.464
E9	C. saccharolyticum	20	2	20	0.561
E9	C. saccharolyticum	20	2	21	0.621
E9	C. saccharolyticum	20	2	22	0.603
E9	C. saccharolyticum	20	2	23	0.548
E9	C. saccharolyticum	20	2	24	0.529
E9	C. saccharolyticum	20	3	0	0.153
E9	C. saccharolyticum	20	3	1	0.144
E9	C. saccharolyticum	20	3	2	0.135
E9	C. saccharolyticum	20	3	3	0.131
E9	C. saccharolyticum	20	3	4	0.13
E9	C. saccharolyticum	20	3	5	0.134
E9	C. saccharolyticum	20	3	6	0.14
E9	C. saccharolyticum	20	3	7	0.146
E9	C. saccharolyticum	20	3	8	0.167
E9	C. saccharolyticum	20	3	9	0.162
E9	C. saccharolyticum	20	3	10	0.224
E9	C. saccharolyticum	20	3	11	0.329
E9	C. saccharolyticum	20	3	12	0.433
E9	C. saccharolyticum	20	3	13	0.375
E9	C. saccharolyticum	20	3	14	0.661
E9	C. saccharolyticum	20	3	15	0.514
E9	C. saccharolyticum	20	3	16	0.457
E9	C. saccharolyticum	20	3	17	0.495
E9	C. saccharolyticum	20	3	18	0.573
E9	C. saccharolyticum	20	3	19	0.511
E9	C. saccharolyticum	20	3	20	0.544
E9	C. saccharolyticum	20	3	21	0.666
E9	C. saccharolyticum	20	3	22	0.678
E9	C. saccharolyticum	20	3	23	0.7
E9	C. saccharolyticum	20	3	24	0.736
E10	C. saccharolyticum	10	1	0	0.15
E10	C. saccharolyticum	10	1	1	0.145
E10	C. saccharolyticum	10	1	2	0.136
E10	C. saccharolyticum	10	1	3	0.132
E10	C. saccharolyticum	10	1	4	0.13
E10	C. saccharolyticum	10	1	5	0.133
E10	C. saccharolyticum	10	1	6	0.143
E10	C. saccharolyticum	10	1	7	0.158
E10	C. saccharolyticum	10	1	8	0.159
E10	C. saccharolyticum	10	1	9	0.259
E10	C. saccharolyticum	10	1	10	0.389
E10	C. saccharolyticum	10	1	11	0.387
E10	C. saccharolyticum	10	1	12	0.419
E10	C. saccharolyticum	10	1	13	0.6
E10	C. saccharolyticum	10	1	14	0.493
E10	C. saccharolyticum	10	1	15	0.601
E10	C. saccharolyticum	10	1	16	0.431
E10	C. saccharolyticum	10	1	17	0.513
E10	C. saccharolyticum	10	1	18	0.481
E10	C. saccharolyticum	10	1	19	0.503
E10	C. saccharolyticum	10	1	20	0.5
E10	C. saccharolyticum	10	1	21	0.523
E10	C. saccharolyticum	10	1	22	0.529
E10	C. saccharolyticum	10	1	23	0.649
E10	C. saccharolyticum	10	1	24	0.59
E10	C. saccharolyticum	10	2	0	0.147
E10	C. saccharolyticum	10	2	1	0.141
E10	C. saccharolyticum	10	2	2	0.132
E10	C. saccharolyticum	10	2	3	0.127
E10	C. saccharolyticum	10	2	4	0.127
E10	C. saccharolyticum	10	2	5	0.131
E10	C. saccharolyticum	10	2	6	0.136
E10	C. saccharolyticum	10	2	7	0.148
E10	C. saccharolyticum	10	2	8	0.198
E10	C. saccharolyticum	10	2	9	0.208
E10	C. saccharolyticum	10	2	10	0.228
E10	C. saccharolyticum	10	2	11	0.343
E10	C. saccharolyticum	10	2	12	0.399
E10	C. saccharolyticum	10	2	13	0.835
E10	C. saccharolyticum	10	2	14	0.501
E10	C. saccharolyticum	10	2	15	0.67
E10	C. saccharolyticum	10	2	16	0.531
E10	C. saccharolyticum	10	2	17	0.394
E10	C. saccharolyticum	10	2	18	0.536
E10	C. saccharolyticum	10	2	19	0.585
E10	C. saccharolyticum	10	2	20	0.775
E10	C. saccharolyticum	10	2	21	0.578
E10	C. saccharolyticum	10	2	22	0.603
E10	C. saccharolyticum	10	2	23	0.574
E10	C. saccharolyticum	10	2	24	0.64
E10	C. saccharolyticum	10	3	0	0.155
E10	C. saccharolyticum	10	3	1	0.145
E10	C. saccharolyticum	10	3	2	0.138
E10	C. saccharolyticum	10	3	3	0.134
E10	C. saccharolyticum	10	3	4	0.134
E10	C. saccharolyticum	10	3	5	0.138
E10	C. saccharolyticum	10	3	6	0.152
E10	C. saccharolyticum	10	3	7	0.165
E10	C. saccharolyticum	10	3	8	0.2
E10	C. saccharolyticum	10	3	9	0.226
E10	C. saccharolyticum	10	3	10	0.279
E10	C. saccharolyticum	10	3	11	0.299
